Year,GeoAreaName,Location,Nature,Reporting Type,Units,Value
2001,Kyrgyzstan,ALLAREA,E,G,PERCENT,46
2001,Kyrgyzstan,URBAN,E,G,PERCENT,80
2001,Kyrgyzstan,RURAL,E,G,PERCENT,27
2002,Kyrgyzstan,ALLAREA,E,G,PERCENT,46
2002,Kyrgyzstan,RURAL,E,G,PERCENT,28
2002,Kyrgyzstan,URBAN,E,G,PERCENT,80
2003,Kyrgyzstan,ALLAREA,E,G,PERCENT,47
2003,Kyrgyzstan,RURAL,E,G,PERCENT,28
2003,Kyrgyzstan,URBAN,E,G,PERCENT,81
2004,Kyrgyzstan,URBAN,E,G,PERCENT,81
2005,Turkmenistan,RURAL,E,G,PERCENT,61
2005,Turkmenistan,ALLAREA,E,G,PERCENT,73
2005,Turkmenistan,URBAN,E,G,PERCENT,87
2006,Turkmenistan,ALLAREA,E,G,PERCENT,75
2006,Turkmenistan,URBAN,E,G,PERCENT,88
2006,Turkmenistan,RURAL,E,G,PERCENT,63
2007,Turkmenistan,RURAL,E,G,PERCENT,66
2007,Turkmenistan,ALLAREA,E,G,PERCENT,77
2007,Turkmenistan,URBAN,E,G,PERCENT,89
2008,Turkmenistan,ALLAREA,E,G,PERCENT,78
2004,Kyrgyzstan,RURAL,E,G,PERCENT,28
2004,Kyrgyzstan,ALLAREA,E,G,PERCENT,47
2005,Kyrgyzstan,ALLAREA,E,G,PERCENT,49
2005,Kyrgyzstan,RURAL,E,G,PERCENT,30
2005,Kyrgyzstan,URBAN,E,G,PERCENT,82
2006,Kyrgyzstan,ALLAREA,E,G,PERCENT,50
2006,Kyrgyzstan,RURAL,E,G,PERCENT,32
2006,Kyrgyzstan,URBAN,E,G,PERCENT,83
2007,Kyrgyzstan,ALLAREA,E,G,PERCENT,52
2007,Kyrgyzstan,RURAL,E,G,PERCENT,35
2008,Turkmenistan,RURAL,E,G,PERCENT,68
2008,Turkmenistan,URBAN,E,G,PERCENT,90
2009,Turkmenistan,ALLAREA,E,G,PERCENT,80
2009,Turkmenistan,RURAL,E,G,PERCENT,70
2009,Turkmenistan,URBAN,E,G,PERCENT,91
2010,Turkmenistan,ALLAREA,E,G,PERCENT,82
2010,Turkmenistan,RURAL,E,G,PERCENT,73
2010,Turkmenistan,URBAN,E,G,PERCENT,92
2011,Turkmenistan,RURAL,E,G,PERCENT,75
2011,Turkmenistan,ALLAREA,E,G,PERCENT,84
2007,Kyrgyzstan,URBAN,E,G,PERCENT,84
2008,Kyrgyzstan,ALLAREA,E,G,PERCENT,54
2008,Kyrgyzstan,RURAL,E,G,PERCENT,37
2008,Kyrgyzstan,URBAN,E,G,PERCENT,85
2009,Kyrgyzstan,ALLAREA,E,G,PERCENT,56
2009,Kyrgyzstan,RURAL,E,G,PERCENT,39
2009,Kyrgyzstan,URBAN,E,G,PERCENT,87
2010,Kyrgyzstan,ALLAREA,E,G,PERCENT,58
2010,Kyrgyzstan,RURAL,E,G,PERCENT,41
2010,Kyrgyzstan,URBAN,E,G,PERCENT,88
2011,Turkmenistan,URBAN,E,G,PERCENT,92
2012,Turkmenistan,ALLAREA,E,G,PERCENT,85
2012,Turkmenistan,RURAL,E,G,PERCENT,78
2012,Turkmenistan,URBAN,E,G,PERCENT,93
2013,Turkmenistan,ALLAREA,E,G,PERCENT,87
2013,Turkmenistan,RURAL,E,G,PERCENT,80
2013,Turkmenistan,URBAN,E,G,PERCENT,94
2014,Turkmenistan,ALLAREA,E,G,PERCENT,89
2014,Turkmenistan,RURAL,E,G,PERCENT,82
2014,Turkmenistan,URBAN,E,G,PERCENT,95
2011,Kyrgyzstan,ALLAREA,E,G,PERCENT,59
2011,Kyrgyzstan,RURAL,E,G,PERCENT,43
2011,Kyrgyzstan,URBAN,E,G,PERCENT,89
2012,Kyrgyzstan,ALLAREA,E,G,PERCENT,61
2012,Kyrgyzstan,RURAL,E,G,PERCENT,46
2012,Kyrgyzstan,URBAN,E,G,PERCENT,90
2013,Kyrgyzstan,ALLAREA,E,G,PERCENT,63
2013,Kyrgyzstan,RURAL,E,G,PERCENT,48
2013,Kyrgyzstan,URBAN,E,G,PERCENT,90
2014,Kyrgyzstan,RURAL,E,G,PERCENT,50
2015,Turkmenistan,ALLAREA,E,G,PERCENT,91
2015,Turkmenistan,URBAN,E,G,PERCENT,96
2015,Turkmenistan,RURAL,E,G,PERCENT,85
2016,Turkmenistan,RURAL,E,G,PERCENT,88
2016,Turkmenistan,URBAN,E,G,PERCENT,97
2016,Turkmenistan,ALLAREA,E,G,PERCENT,92
2017,Turkmenistan,URBAN,E,G,PERCENT,97
2017,Turkmenistan,ALLAREA,E,G,PERCENT,94
2017,Turkmenistan,RURAL,E,G,PERCENT,90
2018,Turkmenistan,RURAL,E,G,PERCENT,92
2014,Kyrgyzstan,ALLAREA,E,G,PERCENT,65
2014,Kyrgyzstan,URBAN,E,G,PERCENT,90
2015,Kyrgyzstan,ALLAREA,E,G,PERCENT,66
2015,Kyrgyzstan,RURAL,E,G,PERCENT,53
2015,Kyrgyzstan,URBAN,E,G,PERCENT,91
2016,Kyrgyzstan,ALLAREA,E,G,PERCENT,68
2016,Kyrgyzstan,RURAL,E,G,PERCENT,55
2016,Kyrgyzstan,URBAN,E,G,PERCENT,91
2017,Kyrgyzstan,URBAN,E,G,PERCENT,91
2017,Kyrgyzstan,ALLAREA,E,G,PERCENT,68
2017,Kyrgyzstan,RURAL,E,G,PERCENT,56
2018,Kyrgyzstan,ALLAREA,E,G,PERCENT,69
2018,Kyrgyzstan,RURAL,E,G,PERCENT,56
2018,Kyrgyzstan,URBAN,E,G,PERCENT,91
2019,Kyrgyzstan,ALLAREA,E,G,PERCENT,69
2019,Kyrgyzstan,RURAL,E,G,PERCENT,57
2019,Kyrgyzstan,URBAN,E,G,PERCENT,91
2020,Kyrgyzstan,ALLAREA,E,G,PERCENT,70
2020,Kyrgyzstan,RURAL,E,G,PERCENT,57
2020,Kyrgyzstan,URBAN,E,G,PERCENT,92
2018,Turkmenistan,URBAN,E,G,PERCENT,97
2018,Turkmenistan,ALLAREA,E,G,PERCENT,95
2019,Turkmenistan,ALLAREA,E,G,PERCENT,95
2019,Turkmenistan,RURAL,E,G,PERCENT,92
2019,Turkmenistan,URBAN,E,G,PERCENT,97
2020,Turkmenistan,ALLAREA,E,G,PERCENT,95
2020,Turkmenistan,RURAL,E,G,PERCENT,92
2020,Turkmenistan,URBAN,E,G,PERCENT,97
2000,Ukraine,ALLAREA,E,G,PERCENT,67
2000,Ukraine,RURAL,E,G,PERCENT,9
2000,Latvia,ALLAREA,E,G,PERCENT,93
2001,Latvia,ALLAREA,E,G,PERCENT,93
2002,Latvia,ALLAREA,E,G,PERCENT,93
2003,Latvia,ALLAREA,E,G,PERCENT,93
2004,Latvia,ALLAREA,E,G,PERCENT,93
2005,Latvia,ALLAREA,E,G,PERCENT,93
2006,Latvia,ALLAREA,E,G,PERCENT,93
2007,Latvia,ALLAREA,E,G,PERCENT,93
2008,Latvia,ALLAREA,E,G,PERCENT,93
2009,Latvia,ALLAREA,E,G,PERCENT,93
2000,Ukraine,URBAN,E,G,PERCENT,95
2001,Ukraine,RURAL,E,G,PERCENT,9
2001,Ukraine,ALLAREA,E,G,PERCENT,67
2001,Ukraine,URBAN,E,G,PERCENT,95
2002,Ukraine,ALLAREA,E,G,PERCENT,67
2002,Ukraine,RURAL,E,G,PERCENT,9
2002,Ukraine,URBAN,E,G,PERCENT,95
2003,Ukraine,URBAN,E,G,PERCENT,95
2003,Ukraine,RURAL,E,G,PERCENT,9
2003,Ukraine,ALLAREA,E,G,PERCENT,67
2010,Latvia,ALLAREA,E,G,PERCENT,94
2011,Latvia,ALLAREA,E,G,PERCENT,94
2012,Latvia,ALLAREA,E,G,PERCENT,94
2013,Latvia,ALLAREA,E,G,PERCENT,95
2014,Latvia,ALLAREA,E,G,PERCENT,95
2015,Latvia,ALLAREA,E,G,PERCENT,95
2016,Latvia,ALLAREA,E,G,PERCENT,95
2017,Latvia,ALLAREA,E,G,PERCENT,96
2018,Latvia,ALLAREA,E,G,PERCENT,96
2019,Latvia,ALLAREA,E,G,PERCENT,96
2020,Latvia,ALLAREA,E,G,PERCENT,96
2000,Liechtenstein,ALLAREA,E,G,PERCENT,100
2001,Liechtenstein,ALLAREA,E,G,PERCENT,100
2002,Liechtenstein,ALLAREA,E,G,PERCENT,100
2003,Liechtenstein,ALLAREA,E,G,PERCENT,100
2004,Liechtenstein,ALLAREA,E,G,PERCENT,100
2005,Liechtenstein,ALLAREA,E,G,PERCENT,100
2006,Liechtenstein,ALLAREA,E,G,PERCENT,100
2007,Liechtenstein,ALLAREA,E,G,PERCENT,100
2008,Liechtenstein,ALLAREA,E,G,PERCENT,100
2004,Ukraine,ALLAREA,E,G,PERCENT,69
2004,Ukraine,RURAL,E,G,PERCENT,17
2004,Ukraine,URBAN,E,G,PERCENT,94
2005,Ukraine,URBAN,E,G,PERCENT,94
2005,Ukraine,RURAL,E,G,PERCENT,26
2005,Ukraine,ALLAREA,E,G,PERCENT,72
2006,Ukraine,URBAN,E,G,PERCENT,93
2006,Ukraine,ALLAREA,E,G,PERCENT,75
2006,Ukraine,RURAL,E,G,PERCENT,35
2007,Ukraine,ALLAREA,E,G,PERCENT,77
2007,Ukraine,URBAN,E,G,PERCENT,93
2007,Ukraine,RURAL,E,G,PERCENT,44
2008,Ukraine,RURAL,E,G,PERCENT,53
2008,Ukraine,ALLAREA,E,G,PERCENT,80
2008,Ukraine,URBAN,E,G,PERCENT,92
2009,Ukraine,ALLAREA,E,G,PERCENT,82
2009,Ukraine,URBAN,E,G,PERCENT,92
2009,Ukraine,RURAL,E,G,PERCENT,62
2010,Ukraine,ALLAREA,E,G,PERCENT,85
2010,Ukraine,RURAL,E,G,PERCENT,71
2009,Liechtenstein,ALLAREA,E,G,PERCENT,100
2010,Liechtenstein,ALLAREA,E,G,PERCENT,100
2011,Liechtenstein,ALLAREA,E,G,PERCENT,100
2012,Liechtenstein,ALLAREA,E,G,PERCENT,100
2013,Liechtenstein,ALLAREA,E,G,PERCENT,100
2014,Liechtenstein,ALLAREA,E,G,PERCENT,100
2015,Liechtenstein,ALLAREA,E,G,PERCENT,100
2016,Liechtenstein,ALLAREA,E,G,PERCENT,100
2017,Liechtenstein,ALLAREA,E,G,PERCENT,100
2018,Liechtenstein,ALLAREA,E,G,PERCENT,100
2010,Ukraine,URBAN,E,G,PERCENT,91
2011,Ukraine,RURAL,E,G,PERCENT,80
2011,Ukraine,ALLAREA,E,G,PERCENT,87
2011,Ukraine,URBAN,E,G,PERCENT,90
2012,Ukraine,ALLAREA,E,G,PERCENT,89
2012,Ukraine,RURAL,E,G,PERCENT,88
2012,Ukraine,URBAN,E,G,PERCENT,90
2013,Ukraine,RURAL,E,G,PERCENT,88
2013,Ukraine,ALLAREA,E,G,PERCENT,89
2013,Ukraine,URBAN,E,G,PERCENT,89
2019,Liechtenstein,ALLAREA,E,G,PERCENT,100
2020,Liechtenstein,ALLAREA,E,G,PERCENT,100
2000,Lithuania,URBAN,E,G,PERCENT,92
2000,Lithuania,ALLAREA,E,G,PERCENT,67
2001,Lithuania,ALLAREA,E,G,PERCENT,68
2001,Lithuania,URBAN,E,G,PERCENT,93
2002,Lithuania,ALLAREA,E,G,PERCENT,68
2002,Lithuania,URBAN,E,G,PERCENT,93
2003,Lithuania,ALLAREA,E,G,PERCENT,68
2003,Lithuania,URBAN,E,G,PERCENT,94
2014,Ukraine,ALLAREA,E,G,PERCENT,89
2014,Ukraine,URBAN,E,G,PERCENT,89
2014,Ukraine,RURAL,E,G,PERCENT,88
2015,Ukraine,ALLAREA,E,G,PERCENT,89
2015,Ukraine,URBAN,E,G,PERCENT,89
2015,Ukraine,RURAL,E,G,PERCENT,89
2016,Ukraine,ALLAREA,E,G,PERCENT,89
2016,Ukraine,RURAL,E,G,PERCENT,89
2016,Ukraine,URBAN,E,G,PERCENT,89
2017,Ukraine,RURAL,E,G,PERCENT,89
2017,Ukraine,ALLAREA,E,G,PERCENT,89
2017,Ukraine,URBAN,E,G,PERCENT,89
2018,Ukraine,ALLAREA,E,G,PERCENT,89
2018,Ukraine,URBAN,E,G,PERCENT,89
2018,Ukraine,RURAL,E,G,PERCENT,89
2019,Ukraine,RURAL,E,G,PERCENT,90
2019,Ukraine,ALLAREA,E,G,PERCENT,89
2019,Ukraine,URBAN,E,G,PERCENT,89
2020,Ukraine,ALLAREA,E,G,PERCENT,89
2020,Ukraine,RURAL,E,G,PERCENT,90
2004,Lithuania,ALLAREA,E,G,PERCENT,70
2004,Lithuania,URBAN,E,G,PERCENT,94
2005,Lithuania,URBAN,E,G,PERCENT,95
2005,Lithuania,ALLAREA,E,G,PERCENT,72
2006,Lithuania,ALLAREA,E,G,PERCENT,74
2006,Lithuania,URBAN,E,G,PERCENT,95
2007,Lithuania,ALLAREA,E,G,PERCENT,76
2007,Lithuania,URBAN,E,G,PERCENT,96
2008,Lithuania,ALLAREA,E,G,PERCENT,79
2008,Lithuania,URBAN,E,G,PERCENT,96
2020,Ukraine,URBAN,E,G,PERCENT,89
2000,North Macedonia,RURAL,E,G,PERCENT,74
2000,North Macedonia,ALLAREA,E,G,PERCENT,80
2000,North Macedonia,URBAN,E,G,PERCENT,85
2001,North Macedonia,ALLAREA,E,G,PERCENT,80
2001,North Macedonia,URBAN,E,G,PERCENT,85
2001,North Macedonia,RURAL,E,G,PERCENT,74
2002,North Macedonia,ALLAREA,E,G,PERCENT,80
2002,North Macedonia,RURAL,E,G,PERCENT,74
2002,North Macedonia,URBAN,E,G,PERCENT,85
2009,Lithuania,ALLAREA,E,G,PERCENT,81
2009,Lithuania,URBAN,E,G,PERCENT,96
2010,Lithuania,URBAN,E,G,PERCENT,97
2010,Lithuania,ALLAREA,E,G,PERCENT,83
2011,Lithuania,ALLAREA,E,G,PERCENT,85
2011,Lithuania,URBAN,E,G,PERCENT,97
2012,Lithuania,ALLAREA,E,G,PERCENT,87
2012,Lithuania,URBAN,E,G,PERCENT,98
2013,Lithuania,ALLAREA,E,G,PERCENT,89
2013,Lithuania,URBAN,E,G,PERCENT,98
2003,North Macedonia,ALLAREA,E,G,PERCENT,80
2003,North Macedonia,RURAL,E,G,PERCENT,74
2003,North Macedonia,URBAN,E,G,PERCENT,85
2004,North Macedonia,ALLAREA,E,G,PERCENT,80
2004,North Macedonia,RURAL,E,G,PERCENT,74
2004,North Macedonia,URBAN,E,G,PERCENT,85
2005,North Macedonia,URBAN,E,G,PERCENT,85
2005,North Macedonia,ALLAREA,E,G,PERCENT,80
2005,North Macedonia,RURAL,E,G,PERCENT,74
2006,North Macedonia,ALLAREA,E,G,PERCENT,80
2006,North Macedonia,RURAL,E,G,PERCENT,74
2006,North Macedonia,URBAN,E,G,PERCENT,85
2007,North Macedonia,URBAN,E,G,PERCENT,85
2007,North Macedonia,ALLAREA,E,G,PERCENT,80
2007,North Macedonia,RURAL,E,G,PERCENT,74
2008,North Macedonia,ALLAREA,E,G,PERCENT,80
2008,North Macedonia,URBAN,E,G,PERCENT,85
2008,North Macedonia,RURAL,E,G,PERCENT,74
2009,North Macedonia,RURAL,E,G,PERCENT,74
2009,North Macedonia,URBAN,E,G,PERCENT,85
2009,North Macedonia,ALLAREA,E,G,PERCENT,80
2010,North Macedonia,ALLAREA,E,G,PERCENT,80
2010,North Macedonia,RURAL,E,G,PERCENT,75
2010,North Macedonia,URBAN,E,G,PERCENT,85
2011,North Macedonia,ALLAREA,E,G,PERCENT,80
2011,North Macedonia,RURAL,E,G,PERCENT,75
2011,North Macedonia,URBAN,E,G,PERCENT,85
2012,North Macedonia,RURAL,E,G,PERCENT,75
2012,North Macedonia,ALLAREA,E,G,PERCENT,80
2012,North Macedonia,URBAN,E,G,PERCENT,85
2013,North Macedonia,ALLAREA,E,G,PERCENT,80
2013,North Macedonia,RURAL,E,G,PERCENT,75
2013,North Macedonia,URBAN,E,G,PERCENT,85
2014,North Macedonia,RURAL,E,G,PERCENT,75
2014,North Macedonia,ALLAREA,E,G,PERCENT,80
2014,North Macedonia,URBAN,E,G,PERCENT,85
2015,North Macedonia,ALLAREA,E,G,PERCENT,80
2015,North Macedonia,URBAN,E,G,PERCENT,85
2015,North Macedonia,RURAL,E,G,PERCENT,75
2016,North Macedonia,RURAL,E,G,PERCENT,72
2014,Lithuania,ALLAREA,E,G,PERCENT,91
2014,Lithuania,URBAN,E,G,PERCENT,99
2015,Lithuania,URBAN,E,G,PERCENT,99
2015,Lithuania,ALLAREA,E,G,PERCENT,94
2016,Lithuania,ALLAREA,E,G,PERCENT,94
2016,Lithuania,URBAN,E,G,PERCENT,99
2017,Lithuania,ALLAREA,E,G,PERCENT,94
2017,Lithuania,URBAN,E,G,PERCENT,99
2018,Lithuania,ALLAREA,E,G,PERCENT,95
2018,Lithuania,URBAN,E,G,PERCENT,99
2016,North Macedonia,URBAN,E,G,PERCENT,85
2016,North Macedonia,ALLAREA,E,G,PERCENT,79
2017,North Macedonia,ALLAREA,E,G,PERCENT,78
2017,North Macedonia,URBAN,E,G,PERCENT,85
2017,North Macedonia,RURAL,E,G,PERCENT,69
2018,North Macedonia,RURAL,E,G,PERCENT,66
2018,North Macedonia,ALLAREA,E,G,PERCENT,77
2018,North Macedonia,URBAN,E,G,PERCENT,85
2019,North Macedonia,RURAL,E,G,PERCENT,66
2019,North Macedonia,ALLAREA,E,G,PERCENT,77
2019,Lithuania,URBAN,E,G,PERCENT,99
2019,Lithuania,ALLAREA,E,G,PERCENT,95
2020,Lithuania,URBAN,E,G,PERCENT,99
2020,Lithuania,ALLAREA,E,G,PERCENT,95
2000,Luxembourg,ALLAREA,E,G,PERCENT,100
2000,Luxembourg,RURAL,E,G,PERCENT,100
2000,Luxembourg,URBAN,E,G,PERCENT,100
2001,Luxembourg,ALLAREA,E,G,PERCENT,100
2001,Luxembourg,RURAL,E,G,PERCENT,100
2001,Luxembourg,URBAN,E,G,PERCENT,100
2019,North Macedonia,URBAN,E,G,PERCENT,85
2020,North Macedonia,URBAN,E,G,PERCENT,85
2020,North Macedonia,ALLAREA,E,G,PERCENT,77
2020,North Macedonia,RURAL,E,G,PERCENT,66
2000,Uzbekistan,RURAL,E,G,PERCENT,32
2000,Uzbekistan,URBAN,E,G,PERCENT,84
2000,Uzbekistan,ALLAREA,E,G,PERCENT,56
2001,Uzbekistan,ALLAREA,E,G,PERCENT,56
2001,Uzbekistan,URBAN,E,G,PERCENT,84
2001,Uzbekistan,RURAL,E,G,PERCENT,32
2002,Uzbekistan,RURAL,E,G,PERCENT,32
2002,Uzbekistan,ALLAREA,E,G,PERCENT,57
2002,Uzbekistan,URBAN,E,G,PERCENT,84
2003,Uzbekistan,ALLAREA,E,G,PERCENT,57
2003,Uzbekistan,RURAL,E,G,PERCENT,32
2003,Uzbekistan,URBAN,E,G,PERCENT,85
2004,Uzbekistan,ALLAREA,E,G,PERCENT,57
2004,Uzbekistan,URBAN,E,G,PERCENT,85
2004,Uzbekistan,RURAL,E,G,PERCENT,31
2005,Uzbekistan,ALLAREA,E,G,PERCENT,57
2002,Luxembourg,ALLAREA,E,G,PERCENT,100
2002,Luxembourg,RURAL,E,G,PERCENT,100
2002,Luxembourg,URBAN,E,G,PERCENT,100
2003,Luxembourg,ALLAREA,E,G,PERCENT,100
2003,Luxembourg,RURAL,E,G,PERCENT,100
2003,Luxembourg,URBAN,E,G,PERCENT,100
2004,Luxembourg,ALLAREA,E,G,PERCENT,100
2004,Luxembourg,RURAL,E,G,PERCENT,100
2004,Luxembourg,URBAN,E,G,PERCENT,100
2005,Luxembourg,ALLAREA,E,G,PERCENT,100
2005,Uzbekistan,RURAL,E,G,PERCENT,31
2005,Uzbekistan,URBAN,E,G,PERCENT,85
2006,Uzbekistan,ALLAREA,E,G,PERCENT,57
2006,Uzbekistan,RURAL,E,G,PERCENT,31
2006,Uzbekistan,URBAN,E,G,PERCENT,85
2007,Uzbekistan,RURAL,E,G,PERCENT,30
2007,Uzbekistan,ALLAREA,E,G,PERCENT,57
2007,Uzbekistan,URBAN,E,G,PERCENT,85
2008,Uzbekistan,RURAL,E,G,PERCENT,30
2008,Uzbekistan,ALLAREA,E,G,PERCENT,58
2008,Uzbekistan,URBAN,E,G,PERCENT,85
2009,Uzbekistan,URBAN,E,G,PERCENT,85
2009,Uzbekistan,RURAL,E,G,PERCENT,30
2009,Uzbekistan,ALLAREA,E,G,PERCENT,58
2010,Uzbekistan,RURAL,E,G,PERCENT,30
2010,Uzbekistan,URBAN,E,G,PERCENT,85
2010,Uzbekistan,ALLAREA,E,G,PERCENT,58
2011,Uzbekistan,ALLAREA,E,G,PERCENT,59
2011,Uzbekistan,RURAL,E,G,PERCENT,30
2011,Uzbekistan,URBAN,E,G,PERCENT,86
2005,Luxembourg,URBAN,E,G,PERCENT,100
2005,Luxembourg,RURAL,E,G,PERCENT,100
2006,Luxembourg,ALLAREA,E,G,PERCENT,100
2006,Luxembourg,URBAN,E,G,PERCENT,100
2006,Luxembourg,RURAL,E,G,PERCENT,100
2007,Luxembourg,ALLAREA,E,G,PERCENT,100
2007,Luxembourg,RURAL,E,G,PERCENT,100
2007,Luxembourg,URBAN,E,G,PERCENT,100
2008,Luxembourg,ALLAREA,E,G,PERCENT,100
2008,Luxembourg,RURAL,E,G,PERCENT,100
2012,Uzbekistan,ALLAREA,E,G,PERCENT,59
2012,Uzbekistan,URBAN,E,G,PERCENT,86
2012,Uzbekistan,RURAL,E,G,PERCENT,31
2013,Uzbekistan,URBAN,E,G,PERCENT,86
2013,Uzbekistan,RURAL,E,G,PERCENT,31
2013,Uzbekistan,ALLAREA,E,G,PERCENT,59
2014,Uzbekistan,ALLAREA,E,G,PERCENT,59
2014,Uzbekistan,RURAL,E,G,PERCENT,31
2014,Uzbekistan,URBAN,E,G,PERCENT,86
2015,Uzbekistan,ALLAREA,E,G,PERCENT,59
2015,Uzbekistan,RURAL,E,G,PERCENT,31
2015,Uzbekistan,URBAN,E,G,PERCENT,86
2016,Uzbekistan,ALLAREA,E,G,PERCENT,59
2016,Uzbekistan,RURAL,E,G,PERCENT,31
2016,Uzbekistan,URBAN,E,G,PERCENT,86
2017,Uzbekistan,RURAL,E,G,PERCENT,31
2017,Uzbekistan,URBAN,E,G,PERCENT,86
2017,Uzbekistan,ALLAREA,E,G,PERCENT,59
2018,Uzbekistan,ALLAREA,E,G,PERCENT,59
2018,Uzbekistan,RURAL,E,G,PERCENT,31
2008,Luxembourg,URBAN,E,G,PERCENT,100
2009,Luxembourg,ALLAREA,E,G,PERCENT,100
2009,Luxembourg,URBAN,E,G,PERCENT,100
2009,Luxembourg,RURAL,E,G,PERCENT,100
2010,Luxembourg,ALLAREA,E,G,PERCENT,100
2010,Luxembourg,RURAL,E,G,PERCENT,100
2010,Luxembourg,URBAN,E,G,PERCENT,100
2011,Luxembourg,ALLAREA,E,G,PERCENT,100
2011,Luxembourg,RURAL,E,G,PERCENT,100
2011,Luxembourg,URBAN,E,G,PERCENT,100
2012,Luxembourg,RURAL,E,G,PERCENT,100
2012,Luxembourg,URBAN,E,G,PERCENT,100
2012,Luxembourg,ALLAREA,E,G,PERCENT,100
2013,Luxembourg,RURAL,E,G,PERCENT,99
2013,Luxembourg,URBAN,E,G,PERCENT,100
2013,Luxembourg,ALLAREA,E,G,PERCENT,100
2014,Luxembourg,ALLAREA,E,G,PERCENT,100
2014,Luxembourg,RURAL,E,G,PERCENT,99
2014,Luxembourg,URBAN,E,G,PERCENT,100
2015,Luxembourg,ALLAREA,E,G,PERCENT,100
2015,Luxembourg,RURAL,E,G,PERCENT,98
2015,Luxembourg,URBAN,E,G,PERCENT,100
2016,Luxembourg,RURAL,E,G,PERCENT,98
2016,Luxembourg,URBAN,E,G,PERCENT,100
2016,Luxembourg,ALLAREA,E,G,PERCENT,100
2017,Luxembourg,ALLAREA,E,G,PERCENT,99
2017,Luxembourg,RURAL,E,G,PERCENT,97
2017,Luxembourg,URBAN,E,G,PERCENT,100
2018,Luxembourg,ALLAREA,E,G,PERCENT,99
2018,Luxembourg,RURAL,E,G,PERCENT,97
2018,Luxembourg,URBAN,E,G,PERCENT,100
2019,Luxembourg,ALLAREA,E,G,PERCENT,99
2019,Luxembourg,URBAN,E,G,PERCENT,100
2019,Luxembourg,RURAL,E,G,PERCENT,97
2020,Luxembourg,ALLAREA,E,G,PERCENT,99
2020,Luxembourg,RURAL,E,G,PERCENT,97
2020,Luxembourg,URBAN,E,G,PERCENT,100
2000,Malta,ALLAREA,E,G,PERCENT,100
2001,Malta,ALLAREA,E,G,PERCENT,100
2002,Malta,ALLAREA,E,G,PERCENT,100
2003,Malta,ALLAREA,E,G,PERCENT,100
2004,Malta,ALLAREA,E,G,PERCENT,100
2005,Malta,ALLAREA,E,G,PERCENT,100
2006,Malta,ALLAREA,E,G,PERCENT,100
2007,Malta,ALLAREA,E,G,PERCENT,100
2008,Malta,ALLAREA,E,G,PERCENT,100
2009,Malta,ALLAREA,E,G,PERCENT,100
2010,Malta,ALLAREA,E,G,PERCENT,100
2011,Malta,ALLAREA,E,G,PERCENT,100
2012,Malta,ALLAREA,E,G,PERCENT,100
2013,Malta,ALLAREA,E,G,PERCENT,100
2014,Malta,ALLAREA,E,G,PERCENT,100
2015,Malta,ALLAREA,E,G,PERCENT,100
2016,Malta,ALLAREA,E,G,PERCENT,100
2017,Malta,ALLAREA,E,G,PERCENT,100
2018,Malta,ALLAREA,E,G,PERCENT,100
2019,Malta,ALLAREA,E,G,PERCENT,100
2020,Malta,ALLAREA,E,G,PERCENT,100
2000,Republic of Moldova,ALLAREA,E,G,PERCENT,40
2001,Republic of Moldova,ALLAREA,E,G,PERCENT,42
2002,Republic of Moldova,ALLAREA,E,G,PERCENT,44
2003,Republic of Moldova,ALLAREA,E,G,PERCENT,46
2004,Republic of Moldova,ALLAREA,E,G,PERCENT,48
2005,Republic of Moldova,ALLAREA,E,G,PERCENT,50
2006,Republic of Moldova,ALLAREA,E,G,PERCENT,53
2007,Republic of Moldova,ALLAREA,E,G,PERCENT,55
2008,Republic of Moldova,ALLAREA,E,G,PERCENT,57
2009,Republic of Moldova,ALLAREA,E,G,PERCENT,60
2010,Republic of Moldova,ALLAREA,E,G,PERCENT,62
2011,Republic of Moldova,ALLAREA,E,G,PERCENT,65
2012,Republic of Moldova,ALLAREA,E,G,PERCENT,67
2013,Republic of Moldova,ALLAREA,E,G,PERCENT,70
2014,Republic of Moldova,ALLAREA,E,G,PERCENT,72
2015,Republic of Moldova,ALLAREA,E,G,PERCENT,72
2016,Republic of Moldova,ALLAREA,E,G,PERCENT,73
2017,Republic of Moldova,ALLAREA,E,G,PERCENT,73
2018,Republic of Moldova,ALLAREA,E,G,PERCENT,73
2019,Republic of Moldova,ALLAREA,E,G,PERCENT,74
2020,Republic of Moldova,ALLAREA,E,G,PERCENT,74
2006,Montenegro,ALLAREA,E,G,PERCENT,84
2006,Montenegro,URBAN,E,G,PERCENT,87
2007,Montenegro,ALLAREA,E,G,PERCENT,84
2007,Montenegro,URBAN,E,G,PERCENT,87
2008,Montenegro,ALLAREA,E,G,PERCENT,84
2008,Montenegro,URBAN,E,G,PERCENT,87
2009,Montenegro,URBAN,E,G,PERCENT,87
2009,Montenegro,ALLAREA,E,G,PERCENT,84
2010,Montenegro,URBAN,E,G,PERCENT,87
2010,Montenegro,ALLAREA,E,G,PERCENT,84
2011,Montenegro,ALLAREA,E,G,PERCENT,84
2011,Montenegro,URBAN,E,G,PERCENT,87
2012,Montenegro,ALLAREA,E,G,PERCENT,84
2012,Montenegro,URBAN,E,G,PERCENT,87
2013,Montenegro,ALLAREA,E,G,PERCENT,85
2013,Montenegro,URBAN,E,G,PERCENT,87
