Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#5-2-2,notstarted,"United Nations Entity for Gender Equality and the Empowerment of Women (UN Women)
United Nations Children&apos;s Fund (UNICEF)
United Nations Statistics Division (UNSD)
World Health Organization (WHO)
United Nations Population Fund (UNFPA)",True,,,,line
#5-3-1,notstarted,United Nations Children&apos;s Fund (UNICEF),True,,,,line
#5-3-1_SP_DYN_MRBF15,notstarted,,,,custom.central_asia,,line
#5-3-1_SP_DYN_MRBF18,notstarted,,,,custom.central_asia,,line
#5-3-2,notstarted,United Nations Children&apos;s Fund (UNICEF),True,,,,line
#5-4-1,notstarted,UN Statistics Division (UNSD) and UN WOMEN,True,,,,line
#5-4-1_SL_DOM_TSPD,notstarted,,,,custom.central_asia,,line
#5-4-1_SL_DOM_TSPDCW,notstarted,,,,custom.central_asia,,line
#5-4-1_SL_DOM_TSPDDC,notstarted,,,,custom.central_asia,,line
#5-5-1,notstarted,UN-Women,True,,,,line
#5-5-1_SG_GEN_LOCGELS,notstarted,,,,custom.central_asia,,line
#5-5-1_SG_GEN_PARL,notstarted,,,,custom.central_asia,,line
#5-5-1_SG_GEN_PARLN,notstarted,,,,custom.central_asia,,line
#5-5-1_SG_GEN_PARLNT,notstarted,,,,custom.central_asia,,line
#5-5-2,notstarted,International Labour Organization (ILO),True,,,,line
#5-5-2_IC_GEN_MGTL,notstarted,,,,custom.central_asia,,line
#5-5-2_IC_GEN_MGTL_19ICLS,notstarted,,,,custom.central_asia,,line
#5-5-2_IC_GEN_MGTN,notstarted,,,,custom.central_asia,,line
#5-5-2_IC_GEN_MGTN_19ICLS,notstarted,,,,custom.central_asia,,line
#5-6-1,notstarted,United Nations Population Fund (UNFPA),True,,,,line
#5-6-1_SH_FPL_INFM,notstarted,,,,custom.central_asia,,line
#5-6-1_SH_FPL_INFMCU,notstarted,,,,custom.central_asia,,line
#5-6-1_SH_FPL_INFMRH,notstarted,,,,custom.central_asia,,line
#5-6-1_SH_FPL_INFMSR,notstarted,,,,custom.central_asia,,line
#5-6-2,notstarted,United Nations Population Fund (UNFPA),True,,,,line
#5-6-2_SH_LGR_ACSRHE,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC1,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC10,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC11,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC12,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC13,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC2,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC3,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC4,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC5,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC6,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC7,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC8,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHEC9,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHES1,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHES2,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHES3,notstarted,,,,custom.central_asia,,line
#5-6-2_SH_LGR_ACSRHES4,notstarted,,,,custom.central_asia,,line
#5-a-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#5-a-1_SP_GNP_WNOWNS,notstarted,,,,custom.central_asia,,line
#5-a-1_SP_LGL_LNDAGSEC,notstarted,,,,custom.central_asia,,line
#5-a-2,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#5-a-2_SG_LGL_LNDFEMOD,notstarted,,,,custom.central_asia,,line
#5-b-1,notstarted,International Telecommunication Union (ITU),True,,,,line
#5-b-1_IT_MOB_OWN,notstarted,,,,custom.central_asia,,line
#5-c-1,notstarted,United Nations Entity for Gender Equality and the Empowerment of Women (UN Women) in collaboration with Organisation for Economic Co-operation and Development (OECD) and United Nations Development Programme (UNDP),True,,,,line
#5-c-1_SG_GEN_EQPWN,notstarted,,,,custom.central_asia,,line
#6-1-1,notstarted,"World Health Organization (WHO)
United Nations Children&apos;s Fund (UNICEF)",True,,,,line
#6-1-1_SH_H2O_SAFE,notstarted,,,,custom.central_asia,,line
#6-2-1,notstarted,"World Health Organization (WHO)
United Nations Children&apos;s Fund (UNICEF)",True,,,,line
#6-2-1_SH_SAN_DEFECT,notstarted,,,,custom.central_asia,,line
#6-2-1_SH_SAN_HNDWSH,notstarted,,,,custom.central_asia,,line
#6-2-1_SH_SAN_SAFE,notstarted,,,,custom.central_asia,,line
#6-3-1,notstarted,"United Nations Human Settlements Programme (UN-Habitat)
World Health Organization (WHO)
United Nations Statistics Division (UNSD)",True,,,,line
#6-3-1_EN_WWT_GEN,notstarted,,,,custom.central_asia,,line
#6-3-1_EN_WWT_TREAT,notstarted,,,,custom.central_asia,,line
#6-3-1_EN_WWT_TREATR,notstarted,,,,custom.central_asia,,line
#6-3-1_EN_WWT_WWDS,notstarted,,,,custom.central_asia,,line
#6-3-2,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#6-3-2_EN_H2O_GRAMBQ,notstarted,,,,custom.central_asia,,line
#6-3-2_EN_H2O_OPAMBQ,notstarted,,,,custom.central_asia,,line
#6-3-2_EN_H2O_RVAMBQ,notstarted,,,,custom.central_asia,,line
#6-3-2_EN_H2O_WBAMBQ,notstarted,,,,custom.central_asia,,line
#6-4-1,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#6-4-1_ER_H2O_WUEYST,notstarted,,,,custom.central_asia,,line
#6-4-2,notstarted,Food and Agriculture Organization of the United Nations (FAO),True,,,,line
#6-4-2_ER_H2O_STRESS,notstarted,,,,custom.central_asia,,line
#6-5-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#6-5-1_ER_H2O_IWRMD,notstarted,,,,custom.central_asia,,line
#6-5-1_ER_H2O_IWRMD_EE,notstarted,,,,custom.central_asia,,line
#6-5-1_ER_H2O_IWRMD_FI,notstarted,,,,custom.central_asia,,line
#6-5-1_ER_H2O_IWRMD_IP,notstarted,,,,custom.central_asia,,line
#6-5-1_ER_H2O_IWRMD_MI,notstarted,,,,custom.central_asia,,line
#6-5-2,notstarted,"Intergovernmental Hydrological Programme of United Nations Educational, Scientific and Cultural Organization (UNESCO-IHP)
United Nations Economic Commission for Europe (UNECE)",True,,,,line
#6-6-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#6-6-1_EN_LKRV_PWAC,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_LKRV_PWAN,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_LKRV_PWAP,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_LKRV_SWAC,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_LKRV_SWAN,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_LKRV_SWAP,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_LKW_QLTRB,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_LKW_QLTRST,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_RSRV_MNWAN,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_RSRV_MNWAP,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_RSRV_MXWAN,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_RSRV_MXWAP,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_WBE_HMWTL,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_WBE_INWTL,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_WBE_NDQTGRW,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_WBE_NDQTRVR,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_WBE_WTLN,notstarted,,,,custom.central_asia,,line
#6-6-1_EN_WBE_WTLP,notstarted,,,,custom.central_asia,,line
#6-a-1,notstarted,"World Health Organization (WHO)
United Nations Environment Programme (UNEP)
Organisation for Economic Co-operation and Development (OECD)",True,,,,line
#6-a-1_DC_TOF_WASHL,notstarted,,,,custom.central_asia,,line
#6-b-1,notstarted,"World Health Organization (WHO)
United Nations Environment Programme (UNEP)
Organisation for Economic Co-operation and Development (OECD)",True,,,,line
#6-b-1_ER_H2O_PRDU,notstarted,,,,custom.central_asia,,line
#6-b-1_ER_H2O_RURP,notstarted,,,,custom.central_asia,,line
#6-b-1_ER_WAT_PART,notstarted,,,,custom.central_asia,,line
#6-b-1_ER_WAT_PRDU,notstarted,,,,custom.central_asia,,line
#7-1-1,notstarted,World Bank Group,True,,,,line
#7-1-1_EG_ACS_ELEC,notstarted,,,,custom.central_asia,,line
#7-1-2,notstarted,World Health Organization (WHO),True,,,,line
#7-2-1,notstarted,"International Energy Agency (IEA) 
United Nations Statistics Division (UNSD) 
International Renewable Energy Agency (IRENA)",True,,,,line
#7-2-1_EG_FEC_RNEW,notstarted,,,,custom.central_asia,,line
#7-3-1,notstarted,"International Energy Agency (IEA) 
United Nations Statistics Division (UNSD)",True,,,,line
#7-3-1_EG_EGY_PRIM,notstarted,,,,custom.central_asia,,line
#7-a-1,notstarted,Organisation for Economic Co-operation and Development (OECD) and International Renewable Energy Agency (IRENA),True,,,,line
#7-a-1_EG_IFF_RANDN,notstarted,,,,custom.central_asia,,line
#7-b-1,notstarted,International Renewable Energy Agency (IRENA),True,,,,line
#7-b-1_EG_EGY_RNEW,notstarted,,,,custom.central_asia,,line
#8-1-1,notstarted,United Nations Statistics Division (UNSD),True,,,,line
#8-1-1_NY_GDP_PCAP,notstarted,,,,custom.central_asia,,line
#8-10-1,notstarted,International Monetary Fund (STAFI - Financial Access Survey Team) ,True,,,,line
#8-10-1_FB_ATM_TOTL,notstarted,,,,custom.central_asia,,line
#8-10-1_FB_CBK_BRCH,notstarted,,,,custom.central_asia,,line
#8-10-2,notstarted,World Bank ,True,,,,line
#8-10-2_FB_BNK_ACCSS,notstarted,,,,custom.central_asia,,line
#8-10-2_FB_BNK_ACCSS_ILF,notstarted,,,,custom.central_asia,,line
#8-10-2_FB_BNK_ACCSS_OLF,notstarted,,,,custom.central_asia,,line
#8-2-1,notstarted,International Labour Organization (ILO) ,True,,,,line
#8-2-1_SL_EMP_PCAP,notstarted,,,,custom.central_asia,,line
#8-3-1,notstarted,International Labour Organization (ILO),True,,,,line
#8-3-1_SL_ISV_IFEM,notstarted,,,,custom.central_asia,,line
#8-3-1_SL_ISV_IFEM_19ICLS,notstarted,,,,custom.central_asia,,line
#8-4-1,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#8-4-2,notstarted,United Nations Environment Programme (UNEP),True,,,,line
#8-4-2_EN_MAT_DOMCMPC,notstarted,,,,custom.central_asia,,line
#8-4-2_EN_MAT_DOMCMPG,notstarted,,,,custom.central_asia,,line
#8-4-2_EN_MAT_DOMCMPT,notstarted,,,,custom.central_asia,,line
#8-5-1,notstarted,International Labour Organization (ILO),True,,,,line
#8-5-1_SL_EMP_EARN,notstarted,,,,custom.central_asia,,line
#8-5-2,notstarted,International Labour Organization (ILO) ,True,,,,line
#8-5-2_SL_TLF_UEM,notstarted,,,,custom.central_asia,,line
#8-5-2_SL_TLF_UEMDIS,notstarted,,,,custom.central_asia,,line
#8-5-2_SL_TLF_UEMDIS_19ICLS,notstarted,,,,custom.central_asia,,line
#8-5-2_SL_TLF_UEM_19ICLS,notstarted,,,,custom.central_asia,,line
#8-6-1,notstarted,International Labour Organization (ILO),True,,,,line
#8-6-1_SL_TLF_NEET,notstarted,,,,custom.central_asia,,line
#8-6-1_SL_TLF_NEET_19ICLS,notstarted,,,,custom.central_asia,,line
#8-7-1,notstarted,"United Nations Children&apos;s Fund (UNICEF)
International Labour Organization (ILO)",True,,,,line
#8-7-1_SL_TLF_CHLDEA,notstarted,,,,custom.central_asia,,line
#8-7-1_SL_TLF_CHLDEC,notstarted,,,,custom.central_asia,,line
#8-8-1,notstarted,International Labour Organisation (ILO),True,,,,line
#8-8-1_SL_EMP_FTLINJUR,notstarted,,,,custom.central_asia,,line
#8-8-1_SL_EMP_INJUR,notstarted,,,,custom.central_asia,,line
#8-8-2,notstarted,International Labour Organization (ILO),True,,,,line
#8-8-2_SL_LBR_NTLCPL,notstarted,,,,custom.central_asia,,line
#8-9-1,notstarted,World Tourism Organization (UNWTO) ,True,,,,line
#8-9-1_ST_GDP_ZS,notstarted,,,,custom.central_asia,,line
#8-a-1,notstarted,Organisation for Economic Co-operation and Development (OECD) ,True,,,,line
#8-a-1_DC_TOF_TRDCMDL,notstarted,,,,custom.central_asia,,line
#8-a-1_DC_TOF_TRDCML,notstarted,,,,custom.central_asia,,line
#8-a-1_DC_TOF_TRDDBMDL,notstarted,,,,custom.central_asia,,line
#8-a-1_DC_TOF_TRDDBML,notstarted,,,,custom.central_asia,,line
#8-b-1,notstarted,International Labour Organization (ILO) ,True,,,,line
#8-b-1_SL_CPA_YEMP,notstarted,,,,custom.central_asia,,line
#9-1-1,notstarted,World Bank,True,,,,line
#9-1-1_SP_ROD_R2KM,notstarted,,,,custom.central_asia,,line
#9-1-2,notstarted,International Civil Aviation Organization (ICAO); International Transport Forum (ITF); United Nations Economic Commission for Europe (UNECE); United Nations Conference on Trade and Development (UNCTAD).,True,,,,line
#9-1-2_IS_RDP_FRGVOL,notstarted,,,,custom.central_asia,,line
#9-1-2_IS_RDP_PFVOL,notstarted,,,,custom.central_asia,,line
#9-1-2_IS_RDP_PORFVOL,notstarted,,,,custom.central_asia,,line
#9-2-1,notstarted,United Nations Industrial Development Organization (UNIDO),True,,,,line
#9-2-1_NV_IND_MANF,notstarted,,,,custom.central_asia,,line
#9-2-1_NV_IND_MANFPC,notstarted,,,,custom.central_asia,,line
#9-2-1_NV_IND_MANF_CD,notstarted,,,,custom.central_asia,,line
#9-2-2,notstarted,"United Nations Industrial Development Organization (UNIDO)
(with the collaboration of the International Labour Organization &#x2013; ILO)",True,,,,line
#9-2-2_SL_TLF_MANF,notstarted,,,,custom.central_asia,,line
#9-2-2_SL_TLF_MANF_19ICLS,notstarted,,,,custom.central_asia,,line
#9-3-1,notstarted,United Nations Industrial Development Organization (UNIDO),True,,,,line
#9-3-1_NV_IND_SSIS,notstarted,,,,custom.central_asia,,line
#9-3-2,notstarted,"United Nations Industrial Development Organization (UNIDO)
World Bank",True,,,,line
#9-3-2_FC_ACC_SSID,notstarted,,,,custom.central_asia,,line
#9-4-1,notstarted,"International Energy Agency (IEA)
United Nations Industrial Development Organization (UNIDO)",True,,,,line
#9-4-1_EN_ATM_CO2,notstarted,,,,custom.central_asia,,line
#9-4-1_EN_ATM_CO2GDP,notstarted,,,,custom.central_asia,,line
#9-4-1_EN_ATM_CO2MVA,notstarted,,,,custom.central_asia,,line
#9-5-1,notstarted,UNESCO Institute for Statistics (UIS),True,,,,line
#9-5-1_GB_XPD_RSDV,notstarted,,,,custom.central_asia,,line
#9-5-2,notstarted,UNESCO Institute for Statistics (UIS) ,True,,,,line
#9-5-2_GB_POP_SCIERD,notstarted,,,,custom.central_asia,,line
#9-a-1,notstarted,Organisation for Economic Co-operation and Development (OECD),True,,,,line
#9-a-1_DC_TOF_INFRAL,notstarted,,,,custom.central_asia,,line
#9-b-1,notstarted,United Nations Industrial Development Organization (UNIDO),True,,,,line
#9-b-1_NV_IND_TECH,notstarted,,,,custom.central_asia,,line
#9-c-1,notstarted,International Telecommunication Union (ITU),True,,,,line
#9-c-1_IT_MOB_2GNTWK,notstarted,,,,custom.central_asia,,line
#9-c-1_IT_MOB_3GNTWK,notstarted,,,,custom.central_asia,,line
#9-c-1_IT_MOB_4GNTWK,notstarted,,,,custom.central_asia,,line
